,player,move_x,move_y
0,0,2,1
1,1,12,0
2,0,14,13
3,1,6,14
4,0,5,12
5,1,0,12
6,0,1,2
7,1,1,14
8,0,7,9
9,1,3,3
10,0,5,4
11,1,0,6
12,0,3,6
13,1,0,0
14,0,1,7
15,1,14,12
16,0,0,13
17,1,14,10
18,0,13,2
19,1,3,10
20,0,12,11
21,1,2,6
22,0,9,3
23,1,8,3
24,0,9,11
25,1,8,12
26,0,10,7
27,1,10,11
28,0,0,8
29,1,7,0
30,0,2,9
31,1,7,4
32,0,14,3
33,1,2,11
34,0,13,11
35,1,4,6
36,0,3,5
37,1,11,9
38,0,1,8
39,1,11,1
40,0,2,3
41,1,7,11
42,0,1,6
43,1,4,5
44,0,13,0
45,1,11,2
46,0,8,9
47,1,5,6
48,0,3,4
49,1,7,2
50,0,0,4
51,1,4,11
52,0,1,5
53,1,6,5
54,0,7,10
55,1,7,5
56,0,6,4
57,1,7,7
58,0,14,2
59,1,1,9
60,0,9,8
61,1,2,2
62,0,11,0
63,1,1,11
64,0,14,11
65,1,11,8
66,0,13,4
67,1,5,3
68,0,6,2
69,1,2,8
70,0,13,5
71,1,12,10
72,0,11,6
