,player,move_x,move_y
0,0,9,9
1,1,4,5
2,0,12,8
3,1,4,9
4,0,7,10
5,1,2,13
6,0,2,7
7,1,12,10
8,0,1,13
9,1,5,8
10,0,3,0
11,1,9,7
12,0,2,3
13,1,8,7
14,0,10,5
15,1,7,11
16,0,0,1
17,1,9,4
18,0,10,10
19,1,6,7
20,0,3,3
21,1,1,0
22,0,9,6
23,1,2,1
24,0,6,1
25,1,4,14
26,0,11,7
27,1,4,12
28,0,11,0
29,1,5,11
30,0,4,10
31,1,2,8
32,0,13,11
33,1,10,6
34,0,4,4
35,1,10,7
36,0,1,10
37,1,8,3
38,0,12,5
39,1,7,12
40,0,9,1
41,1,9,5
42,0,10,3
43,1,11,8
44,0,2,10
45,1,11,4
46,0,11,5
47,1,13,12
48,0,3,7
49,1,4,0
50,0,8,9
51,1,8,4
52,0,4,6
53,1,2,0
54,0,6,12
55,1,5,12
56,0,14,2
57,1,7,6
58,0,14,7
59,1,2,2
60,0,9,10
61,1,8,14
62,0,11,12
63,1,7,9
64,0,6,11
65,1,10,1
66,0,8,8
67,1,9,8
68,0,9,13
69,1,1,5
70,0,0,7
71,1,4,3
72,0,6,4
73,1,8,5
