,player,move_x,move_y
0,0,12,8
1,1,4,6
2,0,2,2
3,1,13,10
4,0,6,12
5,1,8,7
6,0,14,12
7,1,1,10
8,0,13,7
9,1,8,12
10,0,9,10
11,1,9,7
12,0,8,9
13,1,7,6
14,0,0,8
15,1,7,10
16,0,11,6
17,1,2,0
18,0,0,6
19,1,4,10
20,0,10,8
21,1,12,4
22,0,13,4
23,1,3,1
24,0,1,2
25,1,8,4
26,0,2,7
27,1,10,6
28,0,2,1
29,1,5,4
30,0,13,2
31,1,3,9
32,0,7,5
33,1,11,0
34,0,8,0
35,1,2,9
36,0,6,9
37,1,6,6
38,0,14,2
39,1,3,13
40,0,5,12
41,1,14,0
42,0,10,9
43,1,7,1
44,0,5,6
45,1,11,4
46,0,8,3
47,1,13,12
48,0,10,5
49,1,10,10
50,0,1,14
51,1,12,10
52,0,4,7
53,1,14,11
54,0,11,9
55,1,11,7
56,0,7,4
57,1,7,8
58,0,10,3
59,1,3,8
60,0,14,8
61,1,5,8
62,0,1,7
63,1,8,10
64,0,4,4
65,1,11,13
66,0,3,5
67,1,10,11
68,0,0,2
69,1,1,8
70,0,4,11
71,1,4,0
72,0,14,3
73,1,13,6
74,0,6,13
75,1,11,14
76,0,14,7
77,1,12,14
78,0,3,3
79,1,7,3
80,0,5,7
81,1,2,12
82,0,7,7
83,1,4,9
84,0,1,1
85,1,6,4
86,0,9,12
87,1,5,0
88,0,6,7
89,1,5,5
90,0,9,4
91,1,12,3
92,0,14,9
93,1,3,12
94,0,4,2
95,1,9,3
96,0,7,11
97,1,0,1
98,0,2,14
99,1,13,5
100,0,12,1
101,1,7,14
102,0,9,2
103,1,5,3
104,0,1,4
105,1,8,6
106,0,2,6
