,player,move_x,move_y
0,0,11,0
1,1,14,12
2,0,0,13
3,1,1,13
4,0,1,0
5,1,6,6
6,0,7,2
7,1,1,5
8,0,13,11
9,1,8,8
10,0,4,9
11,1,11,4
12,0,6,1
13,1,5,13
14,0,2,10
15,1,10,0
16,0,2,3
17,1,12,9
18,0,8,12
19,1,7,1
20,0,0,9
21,1,14,4
22,0,9,13
23,1,11,14
24,0,7,7
25,1,14,5
26,0,6,12
27,1,7,14
28,0,4,5
29,1,3,8
30,0,9,0
31,1,14,11
32,0,9,5
33,1,7,4
34,0,6,3
35,1,12,7
36,0,0,11
37,1,6,7
38,0,7,6
39,1,7,10
40,0,8,9
41,1,6,2
42,0,0,6
43,1,4,7
44,0,10,9
45,1,5,0
46,0,11,8
47,1,14,0
48,0,10,7
49,1,3,2
50,0,8,2
51,1,2,1
52,0,14,9
53,1,10,14
54,0,4,1
55,1,3,1
56,0,7,8
57,1,13,8
58,0,12,3
59,1,11,11
60,0,14,14
61,1,10,11
62,0,2,5
63,1,5,4
64,0,9,1
65,1,12,11
66,0,13,3
67,1,5,12
68,0,3,6
69,1,11,12
70,0,9,8
71,1,0,5
72,0,8,13
73,1,7,13
74,0,3,3
75,1,2,4
76,0,14,8
77,1,1,12
78,0,12,10
79,1,1,14
80,0,12,1
81,1,12,8
82,0,11,3
83,1,1,10
84,0,4,2
85,1,5,8
86,0,4,4
87,1,13,10
88,0,5,14
89,1,11,2
90,0,13,14
91,1,9,11
92,0,4,3
