,player,move_x,move_y
0,0,3,14
1,1,10,4
2,0,3,5
3,1,11,0
4,0,11,10
5,1,11,13
6,0,1,2
7,1,7,6
8,0,12,13
9,1,9,0
10,0,5,9
11,1,14,14
12,0,2,9
13,1,12,8
14,0,3,13
15,1,2,14
16,0,7,12
17,1,9,5
18,0,13,6
19,1,0,9
20,0,6,6
21,1,6,8
22,0,10,13
23,1,5,12
24,0,13,7
25,1,9,1
26,0,8,4
27,1,12,11
28,0,2,6
29,1,0,14
30,0,8,12
31,1,3,0
32,0,11,6
33,1,14,13
34,0,11,12
35,1,10,10
36,0,11,5
37,1,2,10
38,0,8,5
39,1,12,2
40,0,8,2
41,1,12,4
42,0,5,11
43,1,11,1
44,0,9,6
45,1,10,9
46,0,10,6
47,1,4,9
48,0,7,11
49,1,1,9
50,0,1,12
51,1,4,2
52,0,8,14
53,1,11,8
54,0,10,7
55,1,6,2
56,0,8,11
57,1,1,11
58,0,9,14
59,1,1,3
60,0,14,10
61,1,13,0
62,0,8,13
63,1,5,14
64,0,13,8
65,1,12,10
66,0,4,13
67,1,0,1
68,0,0,3
69,1,7,1
70,0,8,6
71,1,12,9
72,0,0,2
73,1,8,9
74,0,9,9
75,1,5,8
76,0,11,7
77,1,2,11
78,0,4,7
79,1,5,6
80,0,1,10
81,1,6,5
82,0,2,8
83,1,0,0
84,0,2,0
85,1,1,13
86,0,5,3
87,1,4,8
88,0,1,8
89,1,13,11
90,0,5,4
91,1,9,11
92,0,1,7
93,1,8,8
94,0,14,11
95,1,3,12
96,0,13,13
97,1,0,4
98,0,6,0
99,1,13,9
100,0,6,1
101,1,10,0
102,0,6,7
103,1,11,2
104,0,7,14
105,1,12,3
106,0,13,1
107,1,2,4
108,0,5,2
109,1,8,3
110,0,12,5
111,1,9,4
112,0,1,0
113,1,10,8
114,0,6,4
115,1,2,5
116,0,12,12
117,1,6,14
118,0,8,7
119,1,11,14
120,0,13,2
121,1,10,12
122,0,3,7
123,1,13,4
124,0,4,1
125,1,10,5
126,0,4,6
127,1,9,12
128,0,4,3
129,1,4,11
130,0,6,11
131,1,14,7
132,0,6,3
133,1,14,0
134,0,2,3
135,1,12,1
136,0,7,9
137,1,0,10
138,0,4,12
139,1,8,10
140,0,6,9
141,1,7,13
142,0,3,2
143,1,5,10
144,0,13,14
145,1,14,3
146,0,8,0
147,1,14,9
148,0,6,12
149,1,0,5
150,0,0,7
151,1,0,8
152,0,2,2
153,1,2,7
154,0,9,3
155,1,12,0
