,player,move_x,move_y
0,0,8,14
1,1,13,14
2,0,0,8
3,1,6,5
4,0,7,8
5,1,12,4
6,0,4,6
7,1,2,4
8,0,14,0
9,1,8,8
10,0,3,7
11,1,10,6
12,0,8,13
13,1,2,13
14,0,13,1
15,1,8,1
16,0,9,7
17,1,1,5
18,0,6,8
19,1,5,7
20,0,9,12
21,1,4,1
22,0,13,3
23,1,3,8
24,0,14,14
25,1,10,1
26,0,14,9
27,1,8,4
28,0,8,2
29,1,7,13
30,0,1,2
31,1,10,5
32,0,1,6
33,1,10,3
34,0,6,1
35,1,1,13
36,0,9,14
37,1,11,0
38,0,5,6
39,1,6,11
40,0,3,0
41,1,14,3
42,0,6,0
43,1,11,12
44,0,13,5
45,1,11,8
46,0,10,8
47,1,7,1
48,0,10,12
49,1,1,11
50,0,12,3
51,1,4,13
52,0,4,8
53,1,9,4
54,0,0,12
55,1,14,11
56,0,3,14
57,1,10,7
58,0,11,13
59,1,3,9
60,0,12,5
61,1,11,14
62,0,10,9
63,1,11,11
64,0,5,10
65,1,10,4
