,player,move_x,move_y
0,0,4,2
1,1,0,13
2,0,0,7
3,1,14,3
4,0,9,7
5,1,8,13
6,0,13,12
7,1,5,3
8,0,11,2
9,1,8,6
10,0,3,5
11,1,13,8
12,0,11,6
13,1,1,1
14,0,11,11
15,1,5,9
16,0,10,10
17,1,9,8
18,0,1,8
19,1,10,13
20,0,13,9
21,1,3,6
22,0,10,3
23,1,10,7
24,0,7,5
25,1,4,5
26,0,11,8
27,1,10,12
28,0,6,6
29,1,11,5
30,0,10,5
31,1,12,4
32,0,6,1
33,1,6,12
34,0,6,14
35,1,4,6
36,0,6,13
37,1,12,6
38,0,6,10
39,1,0,10
40,0,4,0
41,1,13,4
42,0,5,11
43,1,1,11
44,0,6,2
45,1,5,2
46,0,2,11
47,1,1,5
48,0,12,7
49,1,0,0
50,0,8,3
51,1,2,9
52,0,11,14
53,1,3,4
54,0,8,11
55,1,13,5
56,0,2,7
57,1,2,12
58,0,5,12
59,1,1,14
60,0,9,6
61,1,11,0
62,0,5,0
63,1,10,14
64,0,11,7
65,1,12,11
66,0,3,11
67,1,13,3
68,0,7,12
69,1,3,12
70,0,13,1
71,1,5,10
72,0,9,0
73,1,12,2
74,0,14,7
75,1,7,3
76,0,8,10
77,1,4,8
78,0,5,1
79,1,1,6
80,0,1,7
81,1,12,9
82,0,4,14
83,1,4,11
84,0,2,14
85,1,6,0
86,0,11,10
87,1,9,3
88,0,11,1
89,1,0,1
90,0,14,0
91,1,2,13
