,player,move_x,move_y
0,0,2,7
1,1,3,9
2,0,12,7
3,1,4,1
4,0,5,9
5,1,10,5
6,0,9,10
7,1,14,0
8,0,7,6
9,1,9,4
10,0,12,9
11,1,13,11
12,0,10,0
13,1,12,0
14,0,8,5
15,1,3,13
16,0,9,12
17,1,1,9
18,0,10,3
19,1,9,8
20,0,8,4
21,1,5,8
22,0,13,2
23,1,6,9
24,0,13,7
25,1,14,7
26,0,14,6
27,1,1,4
28,0,13,3
29,1,1,12
30,0,12,4
31,1,14,4
32,0,14,9
33,1,13,6
34,0,12,8
35,1,2,13
36,0,14,8
37,1,11,8
38,0,8,3
39,1,7,4
40,0,7,14
41,1,8,6
42,0,1,14
43,1,7,2
44,0,5,4
45,1,3,3
46,0,1,11
47,1,13,4
48,0,10,8
49,1,6,3
50,0,7,11
51,1,12,3
52,0,2,0
53,1,7,3
54,0,12,13
55,1,11,13
56,0,8,0
57,1,12,14
58,0,11,7
59,1,14,10
60,0,14,14
61,1,9,2
62,0,1,10
63,1,5,14
64,0,14,11
65,1,3,0
66,0,12,5
67,1,9,0
68,0,11,0
69,1,5,13
70,0,2,12
71,1,3,2
72,0,5,11
73,1,6,14
74,0,5,10
75,1,4,4
76,0,10,14
77,1,11,6
78,0,6,13
79,1,0,3
80,0,1,2
81,1,6,5
82,0,0,4
83,1,4,3
84,0,7,10
85,1,7,1
86,0,14,12
87,1,8,1
88,0,2,8
89,1,3,10
90,0,6,12
91,1,0,5
92,0,4,6
93,1,1,5
94,0,1,6
95,1,3,7
96,0,13,8
97,1,2,5
98,0,1,3
99,1,14,2
100,0,6,2
101,1,4,9
102,0,3,12
103,1,10,12
104,0,1,8
105,1,9,5
106,0,4,8
107,1,11,1
108,0,2,6
109,1,14,1
110,0,0,7
111,1,9,9
112,0,2,11
113,1,6,8
114,0,9,14
115,1,13,13
116,0,7,13
117,1,12,10
118,0,13,5
119,1,8,10
120,0,9,13
121,1,12,2
122,0,3,4
123,1,4,10
124,0,0,6
125,1,5,2
