,player,move_x,move_y
0,0,3,11
1,1,7,2
2,0,9,8
3,1,2,13
4,0,14,6
5,1,9,13
6,0,2,5
7,1,2,0
8,0,12,9
9,1,12,6
10,0,12,7
11,1,6,3
12,0,11,10
13,1,1,4
14,0,0,8
15,1,10,6
16,0,10,4
17,1,6,4
18,0,8,11
19,1,6,1
20,0,8,5
21,1,10,7
22,0,9,7
23,1,10,12
24,0,12,5
25,1,7,3
26,0,2,1
27,1,0,0
28,0,14,8
29,1,3,7
30,0,4,14
31,1,3,8
32,0,13,10
33,1,10,9
34,0,13,13
35,1,11,7
36,0,5,12
37,1,14,11
38,0,8,0
39,1,8,7
40,0,11,0
41,1,12,13
42,0,1,8
43,1,4,5
44,0,5,11
45,1,7,8
46,0,13,12
47,1,4,1
48,0,6,8
49,1,9,3
50,0,5,9
51,1,12,2
52,0,13,5
53,1,4,12
54,0,3,1
55,1,8,13
56,0,13,11
57,1,4,13
58,0,9,12
59,1,0,1
60,0,7,4
61,1,6,9
62,0,9,14
63,1,8,6
64,0,0,5
65,1,5,3
66,0,7,5
67,1,13,2
68,0,9,11
69,1,5,1
70,0,14,12
71,1,5,7
72,0,9,10
73,1,5,13
74,0,5,0
75,1,2,7
76,0,5,5
77,1,12,12
78,0,1,14
79,1,11,3
80,0,14,4
81,1,6,14
82,0,0,6
83,1,1,6
84,0,1,9
85,1,10,8
86,0,2,6
87,1,3,9
88,0,3,2
89,1,2,8
90,0,0,9
91,1,10,14
92,0,1,3
93,1,11,4
94,0,6,6
95,1,8,9
96,0,1,2
97,1,10,1
98,0,8,12
99,1,5,6
100,0,13,6
101,1,0,7
102,0,12,11
103,1,4,0
104,0,11,2
105,1,8,8
106,0,4,2
107,1,0,12
108,0,2,14
109,1,7,13
110,0,9,9
