,player,move_x,move_y
0,0,4,1
1,1,8,2
2,0,4,5
3,1,13,8
4,0,5,7
5,1,14,8
6,0,12,5
7,1,11,8
8,0,6,2
9,1,12,3
10,0,1,3
11,1,14,14
12,0,13,4
13,1,1,6
14,0,8,10
15,1,7,12
16,0,2,2
17,1,3,1
18,0,11,4
19,1,10,9
20,0,13,14
21,1,10,11
22,0,4,13
23,1,2,4
24,0,3,2
25,1,3,13
26,0,8,9
27,1,2,10
28,0,9,1
29,1,5,8
30,0,9,12
31,1,7,3
32,0,1,9
33,1,8,14
34,0,14,9
35,1,0,6
36,0,4,9
37,1,3,0
38,0,7,7
39,1,4,3
40,0,9,2
41,1,5,5
42,0,13,12
43,1,12,7
44,0,9,7
45,1,1,11
46,0,5,4
47,1,4,8
48,0,10,10
49,1,0,4
50,0,8,5
51,1,1,14
52,0,7,11
53,1,0,2
54,0,10,1
55,1,2,1
56,0,11,3
57,1,12,2
58,0,9,9
59,1,11,5
60,0,14,4
61,1,13,1
62,0,13,9
63,1,7,2
64,0,12,4
65,1,3,14
66,0,4,10
67,1,7,6
68,0,8,7
69,1,4,2
70,0,8,13
71,1,11,9
72,0,4,11
73,1,1,0
74,0,10,7
75,1,0,14
76,0,3,9
77,1,6,6
78,0,9,5
79,1,13,0
80,0,11,2
81,1,7,4
82,0,9,4
83,1,9,3
84,0,6,3
85,1,0,5
86,0,9,8
87,1,10,13
88,0,10,2
89,1,9,6
90,0,8,3
91,1,3,4
92,0,0,13
93,1,6,7
94,0,10,14
95,1,6,10
96,0,5,0
97,1,1,12
98,0,1,8
99,1,0,8
100,0,3,5
101,1,5,9
102,0,4,14
103,1,11,6
104,0,8,12
105,1,13,7
106,0,4,12
