,player,move_x,move_y
0,0,3,2
1,1,5,4
2,0,8,1
3,1,10,10
4,0,0,10
5,1,4,4
6,0,0,6
7,1,12,1
8,0,10,2
9,1,12,6
10,0,2,13
11,1,11,5
12,0,1,9
13,1,2,4
14,0,10,6
15,1,6,5
16,0,11,14
17,1,0,4
18,0,9,3
19,1,6,10
20,0,4,7
21,1,1,13
22,0,13,6
23,1,12,0
24,0,8,10
25,1,9,9
26,0,11,13
27,1,1,3
28,0,1,14
29,1,4,1
30,0,3,11
31,1,0,2
32,0,9,1
33,1,9,14
34,0,6,0
35,1,13,8
36,0,11,1
37,1,14,12
38,0,14,0
39,1,13,1
40,0,3,7
41,1,1,7
42,0,8,7
43,1,13,9
44,0,1,0
45,1,5,0
46,0,10,1
47,1,0,5
48,0,10,11
49,1,2,12
50,0,2,6
51,1,1,4
52,0,0,12
53,1,10,5
54,0,13,12
55,1,3,13
56,0,7,1
