,player,move_x,move_y
0,0,7,7
1,1,9,14
2,0,9,6
3,1,2,10
4,0,2,7
5,1,14,5
6,0,11,9
7,1,11,8
8,0,8,10
9,1,0,12
10,0,0,5
11,1,5,3
12,0,8,13
13,1,7,3
14,0,6,13
15,1,8,12
16,0,8,6
17,1,9,9
18,0,0,0
19,1,13,8
20,0,12,7
21,1,2,12
22,0,12,11
23,1,2,8
24,0,11,2
25,1,9,0
26,0,10,6
27,1,7,5
28,0,4,11
29,1,11,1
30,0,9,2
31,1,9,12
32,0,3,3
33,1,0,8
34,0,2,6
35,1,7,12
36,0,0,4
37,1,11,10
38,0,11,3
39,1,5,4
40,0,6,2
41,1,6,6
42,0,4,8
43,1,2,0
44,0,13,12
45,1,14,4
46,0,11,6
47,1,0,9
48,0,7,11
49,1,4,12
50,0,7,6
